category,position,budget,limit_time,response_time,top1_score,top1_distance,top1_walk_time,top1_price,top5_score,top5_distance,top5_price,budget_success,distance_score,price_score,time_score,similarity
한식,정문,15000,10,0.035084458999335766,76.04550791079257,94,2,9000.0,68.64135887215672,159.8,9000.0,True,88.8888888888889,99.99999999999999,100.0,41.08240355464544
양식,후문,10000,11,0.006343582994304597,65.0,202,4,17333.333333333332,38.0,313.8,17333.333333333332,False,100.0,0.0,0.0,100.0
양식,정문,15000,15,0.005510584014700726,35.00000000000003,476,10,17333.333333333332,31.666666666666675,366.3333333333333,17333.333333333332,False,0.0,0.0,0.0,100.00000000000009
양식,후문,15000,11,0.0054604579927399755,65.0,202,4,17333.333333333332,38.0,313.8,17333.333333333332,False,100.0,0.0,0.0,100.0
일식,정문,20000,10,0.005429332988569513,57.14238957839562,104,2,9250.0,43.620303450474296,167.8,9250.0,True,100.0,0.0,100.0,20.406827366844638
양식,후문,15000,13,0.005400666006607935,65.0,202,4,17333.333333333332,38.0,313.8,17333.333333333332,False,100.0,0.0,0.0,100.0
중식,후문,10000,12,0.005386125005315989,58.999999999999986,220,5,10250.0,41.060176206799184,263.8,10250.0,False,79.99999999999997,0.0,0.0,100.0
카페,후문,7000,17,0.005478124978253618,62.0,96,2,5000.0,55.718929980726514,153.0,5000.0,True,90.0,0.0,0.0,100.0
카페,후문,20000,12,0.005537916993489489,62.0,96,2,5000.0,55.718929980726514,153.0,5000.0,True,90.00000000000001,0.0,0.0,100.0
양식,후문,20000,18,0.005405750009231269,65.0,202,4,17333.333333333332,37.999999999999986,313.8,17333.333333333332,True,100.0,0.0,0.0,100.0
중식,정문,5000,7,0.005537499993806705,55.0,150,3,10250.0,30.66580122559837,190.0,10250.0,False,66.66666666666666,0.0,0.0,100.00000000000003
한식,정문,20000,16,0.005623042001388967,76.20723197715606,94,2,9000.0,69.39323004333781,159.8,9000.0,True,90.00000000000001,100.0,100.0,40.59209136330302
중식,정문,5000,6,0.005902582983253524,55.0,150,3,10250.0,30.66580122559837,190.0,10250.0,False,66.66666666666666,0.0,0.0,100.00000000000003
카페,후문,20000,12,0.006278000015299767,62.0,96,2,5000.0,55.718929980726514,153.0,5000.0,True,90.00000000000001,0.0,0.0,100.0
한식,후문,7000,17,0.0057192920066881925,80.0,157,3,9000.0,73.75687003544343,181.6,9000.0,False,100.0,100.0,0.0,100.0
일식,정문,15000,13,0.0055295829952228814,57.14238957839562,104,2,9250.0,43.620303450474296,167.8,9250.0,True,100.0,0.0,100.0,20.406827366844638
분식,후문,20000,14,0.005458790983539075,65.0,29,1,4625.0,42.57142857142857,207.4,4625.0,True,100.0,0.0,0.0,100.0
양식,정문,10000,18,0.00554704200476408,35.00000000000003,476,10,17333.333333333332,31.666666666666675,366.3333333333333,17333.333333333332,False,0.0,0.0,0.0,100.00000000000009
양식,정문,7000,14,0.005452666984638199,35.00000000000003,476,10,17333.333333333332,31.666666666666675,366.3333333333333,17333.333333333332,False,0.0,0.0,0.0,100.00000000000009
중식,정문,20000,17,0.005590916000073776,61.249999999999986,150,3,10250.0,44.933677097618286,229.0,10250.0,True,87.49999999999997,0.0,0.0,100.0
한식,정문,10000,9,0.0056247919856105,76.33576663490625,94,2,9000.0,67.79979707395108,159.8,9000.0,True,87.50000000000001,100.0,100.0,43.10219038544645
양식,정문,20000,10,0.005446915980428457,35.00000000000003,476,10,17333.333333333332,31.666666666666675,366.3333333333333,17333.333333333332,True,0.0,0.0,0.0,100.00000000000009
분식,정문,20000,19,0.00554629199905321,65.0,120,3,4625.0,53.0,280.6,4625.0,True,100.0,0.0,0.0,100.0
분식,후문,20000,19,0.005537040997296572,65.0,29,1,4625.0,42.57142857142857,207.4,4625.0,True,100.00000000000003,0.0,0.0,100.0
카페,후문,20000,18,0.005560541991144419,62.0,96,2,5000.0,55.718929980726514,153.0,5000.0,True,90.0,0.0,0.0,100.0
양식,정문,20000,13,0.005441917019197717,35.00000000000003,476,10,17333.333333333332,31.666666666666675,366.3333333333333,17333.333333333332,True,0.0,0.0,0.0,100.00000000000009
카페,후문,10000,5,0.005566291976720095,57.5,96,2,5000.0,48.28447896413719,111.0,5000.0,True,75.0,0.0,0.0,100.0
카페,후문,7000,14,0.005516500008525327,62.0,96,2,5000.0,55.718929980726514,153.0,5000.0,True,90.00000000000001,0.0,0.0,100.0
카페,후문,10000,8,0.005582333018537611,60.71428571428571,96,2,5000.0,52.954044111651704,153.0,5000.0,True,85.71428571428571,0.0,0.0,100.0
